w1 (rad/s),w2 (rad/s),w3 (rad/s),G3 (Pa),eta3 (Pa s3),J3 (Pa-3),phi3 (Pa-3 s-1),Subspace,"[R,G,B]"
5.12,1.28,1.28,(-2.9375885090158653-5.508505906103211j),(0.6566650755528461-0.35018783915232005j),(2.2449193849025724e-06-5.842379358569825e-06j),(4.486947347381626e-05+1.7240980876051756e-05j),A,"[0.5, 0.0, 0.5]"
20.48,1.28,1.28,(-5.300292066810064-6.25037346019947j),(0.18627564490435927-0.1579610129240174j),(3.555944248472745e-06-6.8692317688023836e-06j),(0.00015826709995320692+8.192895548481204e-05j),A,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
5.12,1.28,5.12,(-5.862625750120365-3.6174071299014576j),(0.10780713349287084-0.17471986264349118j),(2.111626664118868e-06-3.994290045626718e-06j),(4.6014221325619795e-05+2.4325939170649357e-05j),A,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
20.48,1.28,5.12,(-9.791833983467342-2.943660479920648j),(0.02193197965562826-0.07295484828552112j),(3.021515091235605e-06-5.619554073139576e-06j),(0.0001510536134859918+8.121832565241307e-05j),A,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
20.48,1.28,20.48,(-22.14977877772755+36.501817883200374j),(-0.06798993401825497-0.041257177996873014j),(-1.4655344845777572e-05-2.087780029587802e-05j),(0.0008818782844978876-0.0006190417662856447j),A,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
5.12,5.12,5.12,(-9.48557873441826+0.92025565213227j),(-0.006856438905986174-0.07067306886924996j),(1.7977179861053472e-06-3.705506709802215e-06j),(5.6916583062562026e-05+2.761294826657813e-05j),A,"[0.0, 0.0, 1.0]"
20.48,5.12,5.12,(-16.327664082824874+5.129735225186261j),(-0.009554876434032359-0.030412644302146272j),(3.29599836229497e-06-6.245706626822073e-06j),(0.00019186810757597408+0.00010125306968970148j),A,"[0.5, 0.0, 0.5]"
20.48,5.12,20.48,(41.070796366492814+22.472690614653434j),(-0.010464662040888067+0.01912507990677506j),(-1.8451286490011808e-05+1.3359127897875203e-06j),(-6.155886135340894e-05-0.000850235281459744j),A,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
20.48,20.48,20.48,(8.988070729788557-3.6849518835044472j),(0.00042898485943493976+0.0010463491466115877j),(-2.658388890867859e-06+2.5399563168041805e-06j),(-0.00015605491610444885-0.00016333141345492125j),A,"[0.0, 0.0, 1.0]"
0.64,-2.56,0.64,(2.817228687090863-2.7615237220102316j),(-2.6335942478277503-2.6867186423214555j),(2.5513762468244844e-06+1.905498072873613e-05j),(2.4390375332782248e-05-3.2657615959353402e-06j),D,"[0.5, 0.0, 0.5]"
0.64,-10.24,0.64,(1.5773095457605562-1.6342724132958857j),(-0.38964090664288653-0.3760599007035627j),(5.831930947459473e-06+1.8985487341102389e-06j),(1.7010996657627743e-05-5.2254101289236884e-05j),D,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
2.56,-10.24,0.64,(0.7119004928985029-3.48435471327947j),(-0.20768372495648083-0.04243257599464076j),(3.91499001104529e-06+1.7696586537179085e-06j),(1.2458396922174077e-05-2.7561529677758844e-05j),D,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
0.64,-0.64,0.64,,,,,D,"[0.0, 0.0, 1.0]"
2.56,-0.64,0.64,,,,,C,"[0.5, 0.0, 0.5]"
10.24,-0.64,0.64,,,,,C,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
2.56,-0.64,2.56,(-3.7315439828637578+5.940718560917624j),(1.416377678136259+0.8896694142493623j),(3.004128429147998e-06-9.70369696757736e-06j),(4.3472562414746576e-05+1.3458495362583032e-05j),B,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
10.24,-0.64,2.56,(-1.6485820774590132+5.286179825256771j),(0.3150808707032663+0.09826314911001999j),(3.892054682503387e-06-5.309761720519677e-06j),(6.456670252151928e-05+4.7327384939241184e-05j),B,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
10.24,-0.64,10.24,(0.5445176515556346+4.896405990708976j),(0.07296213493807577-0.008113945298725882j),(3.047856885283911e-06-3.998075641591839e-06j),(7.932182072918208e-05+6.0469480604032794e-05j),B,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
2.56,-10.24,2.56,(-0.7431850529546464-5.996807243160541j),(-0.08935939137876839+0.01107432027093539j),(2.283294353676865e-06+2.387644611195534e-06j),(1.2224740409321134e-05-1.1690467090825548e-05j),D,"[0.5, 0.0, 0.5]"
2.56,-2.56,0.64,,,,,D,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
10.24,-2.56,0.64,(-3.274182389972451-3.6121320171452216j),(-0.2152998457637561+0.19515647828414742j),(5.781291926596002e-06-8.942083725363504e-07j),(7.439813659502435e-06+4.810034882927874e-05j),C,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
2.56,-2.56,2.56,,,,,D,"[0.0, 0.0, 1.0]"
10.24,-2.56,2.56,,,,,C,"[0.5, 0.0, 0.5]"
10.24,-2.56,10.24,(-6.223024180325228+10.862677474599247j),(0.040466627011445336+0.023182571606059476j),(3.4022594665908425e-06-4.532794028550162e-06j),(8.122766899161891e-05+6.09684896413079e-05j),B,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
10.24,-10.24,0.64,,,,,D,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
10.24,-10.24,2.56,,,,,D,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
10.24,-10.24,10.24,,,,,D,"[0.0, 0.0, 1.0]"
0.64,0.64,0.64,(2.020874536769227-1.3103888162103736j),(4.998736634103293+7.7090245695847575j),(-2.162360619620495e-06-2.1511319372775043e-05j),(4.130173319572808e-05-4.151732389671351e-06j),A,"[0.0, 0.0, 1.0]"
2.56,0.64,0.64,(0.9714497262372984-3.0079700962699505j),(2.868623825330687+0.9264466535923942j),(1.5081745856469018e-06-1.0416719844949422e-05j),(4.0000204204605783e-05+5.791390408884103e-06j),A,"[0.5, 0.0, 0.5]"
10.24,0.64,0.64,(0.11517549084908196-2.612902976772811j),(0.6229646150524165+0.027459976875563133j),(3.4287938542076705e-06-6.1265846488120625e-06j),(7.057825515431495e-05+3.949970520047236e-05j),A,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
2.56,0.64,2.56,(-1.643753844634014-4.507964954288934j),(1.0747825990412077-0.39190145603037213j),(1.5734440597731036e-06-6.611815920296388e-06j),(3.808405970090719e-05+9.063037784293077e-06j),A,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
10.24,0.64,2.56,(-2.548007437659032-3.574828309042584j),(0.21307637149349354-0.15187307820671986j),(2.4807769672819366e-06-4.5832088718713344e-06j),(6.159832723795074e-05+3.3341642440269235e-05j),A,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
10.24,0.64,10.24,(-3.5775205768386913-2.3851648852114895j),(0.03554172642844154-0.05330921078978018j),(2.319114050997482e-06-3.7226610765309086e-06j),(7.862260193633279e-05+4.897968875706682e-05j),A,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
2.56,2.56,2.56,(-7.281078242964373-4.864845834626211j),(0.28996740785993397-0.4339860822537167j),(1.5791268634679459e-06-5.179760819888698e-06j),(3.97805630967452e-05+1.2127694311433824e-05j),A,"[0.0, 0.0, 1.0]"
10.24,2.56,2.56,(-8.266221127307565-2.489558914701857j),(0.037097318689552794-0.1231762934819991j),(2.100982211587864e-06-4.020323969912114e-06j),(6.175217617785007e-05+3.227108676998959e-05j),A,"[0.5, 0.0, 0.5]"
10.24,2.56,10.24,(-10.32881450278787-0.17362523935124433j),(0.0006468044197233181-0.03847783246184836j),(2.7210801285935016e-06-3.7944344550961833e-06j),(8.742376984541606e-05+6.269368616279427e-05j),A,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
10.24,10.24,10.24,(-15.756293923439348+7.717323867376912j),(-0.007187317933306947-0.014674192223175751j),(3.5682383352606602e-06-5.828435127319221e-06j),(0.00017904952711124647+0.00010961628165920747j),A,"[0.0, 0.0, 1.0]"
0.32,-1.28,0.32,(1.0633129196222693-1.194545352495525j),(-9.11365777965946-8.112433773973612j),(-3.687277541355133e-06+6.267074291902519e-05j),(4.010927546817612e-05+2.359857626467285e-06j),D,"[0.5, 0.0, 0.5]"
0.32,-5.12,0.32,(0.8680371593591598-0.24603770067468306j),(-0.4692796720021878-1.6556494891341396j),(6.746127467069821e-06+6.526283718756202e-06j),(2.923775106002779e-05-3.02226510524728e-05j),D,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
1.28,-5.12,0.32,(1.6004182066434567-1.5991861406145138j),(-0.7625513747284477-0.7631388695924075j),(5.224916935065757e-06+5.644855170855257e-06j),(1.9869890201410507e-05-1.8391707611431463e-05j),D,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
0.32,-0.32,0.32,,,,,D,"[0.0, 0.0, 1.0]"
1.28,-0.32,0.32,,,,,C,"[0.5, 0.0, 0.5]"
5.12,-0.32,0.32,,,,,C,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
1.28,-0.32,1.28,(-3.265104450246234+1.4178596746256158j),(2.704352711917144+6.227692509167163j),(2.927278239590272e-06-2.0183046780144357e-05j),(4.521002478752336e-05+6.55710325668221e-06j),B,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
5.12,-0.32,1.28,(-1.8187925771104956+2.302434818012192j),(1.0978864755688629+0.8672678838303067j),(5.244311423784841e-06-7.814240136374939e-06j),(4.751058002915963e-05+3.188541345661183e-05j),B,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
5.12,-0.32,5.12,(-0.20360314987595898+2.7635995455490123j),(0.3294467384277596+0.0242713868470143j),(3.5933605880996652e-06-4.507526317474225e-06j),(4.471466106934431e-05+3.564613703394868e-05j),B,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
1.28,-5.12,1.28,(3.1473585854285244-5.662541462524046j),(-0.6750275447993332-0.3751943809304862j),(2.9960265412756277e-06+6.83368622241137e-06j),(1.7494236729373106e-05-7.669827945665607e-06j),D,"[0.5, 0.0, 0.5]"
1.28,-1.28,0.32,,,,,D,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
5.12,-1.28,0.32,(-2.3108587825651528-1.6390563174509247j),(-0.781562956548178+1.1019033348871003j),(8.104132486187232e-06-4.768509984847948e-06j),(1.9837001536967463e-05+3.3713191142538884e-05j),C,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
1.28,-1.28,1.28,,,,,D,"[0.0, 0.0, 1.0]"
5.12,-1.28,1.28,,,,,C,"[0.5, 0.0, 0.5]"
5.12,-1.28,5.12,(-5.941970246447156+9.488457490832314j),(0.2827780691037271+0.17708451290271152j),(4.533656203252763e-06-5.831174260176225e-06j),(5.224732137117898e-05+4.0621559581144764e-05j),B,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
5.12,-5.12,0.32,,,,,D,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
5.12,-5.12,1.28,,,,,D,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
5.12,-5.12,5.12,,,,,D,"[0.0, 0.0, 1.0]"
0.32,0.32,0.32,(0.5600399913796714+0.14738550671171613j),(-4.497848715567509+17.091064190053448j),(-8.354532523515083e-06-5.134845258519169e-05j),(4.9294514481784025e-05-8.02035122257448e-06j),A,"[0.0, 0.0, 1.0]"
1.28,0.32,0.32,(1.044675852241264-0.5360802276999722j),(4.089967557525422+7.970244234018432j),(-1.6736972266170538e-06-2.2433887161637305e-05j),(4.3073063350343626e-05-3.213498675104743e-06j),A,"[0.5, 0.0, 0.5]"
5.12,0.32,0.32,(0.5477738220844582-0.8052664841121787j),(1.5359239275210927+1.044795650643269j),(4.100093788771816e-06-9.023621826894543e-06j),(5.1976061722912566e-05+2.361654022332566e-05j),A,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
1.28,0.32,1.28,(1.2124045593061075-2.415003225244941j),(4.606253099908716+2.312478178608145j),(-5.491215241246698e-07-1.4431722308175699e-05j),(4.156336024754601e-05-1.581469989479049e-06j),A,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
5.12,0.32,1.28,(-0.06255746196919997-2.4099065891661335j),(1.1491330095129648-0.029829722389793374j),(2.4283960520458516e-06-7.294654893267988e-06j),(4.9020080882760885e-05+1.6318821469748123e-05j),A,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
5.12,0.32,5.12,(-1.569277062905246-2.0322274164775935j),(0.24226038652391355-0.187072403777271j),(1.843619586385883e-06-5.004796574484154e-06j),(5.285065182655267e-05+1.9468622832234925e-05j),A,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
1.28,1.28,1.28,(-0.7891466929497104-6.847747295338322j),(3.2652603604022605-0.3762944664715339j),(-2.823599446004299e-07-1.105068000043512e-05j),(4.243461120167086e-05-1.0842621872656508e-06j),A,"[0.0, 0.0, 1.0]"
5.12,1.28,1.28,(-3.639765393563291-5.425289470754466j),(0.6467449034159738-0.4338938466981996j),(1.720848078154538e-06-6.319760051085766e-06j),(4.8535757192338685e-05+1.321611324022685e-05j),A,"[0.5, 0.0, 0.5]"
5.12,1.28,5.12,(-6.405989376617557-3.538991287876035j),(0.1054701592885266-0.1909133606141077j),(2.036617528749079e-06-4.346452781964916e-06j),(5.007113604823583e-05+2.3461833931189387e-05j),A,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
5.12,5.12,5.12,(-8.767392673112502-0.3865406913301431j),(0.0028799525747458866-0.06532216573590413j),(2.1178425102779917e-06-3.14622708004377e-06j),(4.8326047949472305e-05+3.253006095786995e-05j),A,"[0.0, 0.0, 1.0]"
0.16,-0.64,0.16,(0.1552634242741866-0.3119239268125895j),(-19.038325611119962-9.47652736048502j),(-1.2869489402110487e-05+0.00016729410385365947j),(5.353411323317103e-05+4.118236608675356e-06j),D,"[0.5, 0.0, 0.5]"
0.16,-2.56,0.16,(0.3574247055254445-0.021818891725925552j),(-0.33292986642342454-5.4538681873389345j),(4.875635087211199e-06+1.8019412627875456e-05j),(4.036348428644103e-05-1.0921422595353086e-05j),D,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
0.64,-2.56,0.16,(1.154620832550348-0.5283251431264034j),(-2.0154004788452275-4.404528932763473j),(4.453768446394444e-06+1.899460250590301e-05j),(3.34305004103893e-05-7.838632465654222e-06j),D,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
0.16,-0.16,0.16,,,,,D,"[0.0, 0.0, 1.0]"
0.64,-0.16,0.16,,,,,C,"[0.5, 0.0, 0.5]"
2.56,-0.16,0.16,,,,,C,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
0.64,-0.16,0.64,(-1.016336754837974-0.3159450376041114j),(-4.820938684144766+15.50806815853842j),(1.0787568664075996e-06-4.73664727273731e-05j),(5.305044945465788e-05+1.2082076903765117e-06j),B,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
2.56,-0.16,0.64,(-1.1147912665529487+0.534019582256671j),(2.0371230402247273+4.252591196262164j),(5.9046526749489645e-06-1.4826221786278253e-05j),(4.507171423028589e-05+1.7950144131844852e-05j),B,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
2.56,-0.16,2.56,(-0.7678926588705126+1.7252468189549979j),(1.6453235806989648+0.7323195065217137j),(4.596108935318872e-06-8.965949748914113e-06j),(4.4471110754614005e-05+2.2796700319181606e-05j),B,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
0.64,-2.56,0.64,(3.8910632205597175-3.1778187265117293j),(-3.030604101669053-3.71080705696079j),(1.0409298233859674e-06+2.446051901377966e-05j),(3.130946433763797e-05-1.3323901739340382e-06j),D,"[0.5, 0.0, 0.5]"
0.64,-0.64,0.16,,,,,D,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
2.56,-0.64,0.16,(-1.2383589856005033-0.5252310914037568j),(-2.0035976081991453+4.723964636232388j),(9.04469631069542e-06-1.7079692312236937e-05j),(3.552576000945283e-05+1.8812968326246473e-05j),C,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
0.64,-0.64,0.64,,,,,D,"[0.0, 0.0, 1.0]"
2.56,-0.64,0.64,,,,,C,"[0.5, 0.0, 0.5]"
2.56,-0.64,2.56,(-5.545715992349137+6.017223083677934j),(1.4346177777476152+1.3222017269966926j),(5.513721429496884e-06-1.0487613527264567e-05j),(4.6984508602145265e-05+2.470147200414604e-05j),B,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
2.56,-2.56,0.16,,,,,D,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
2.56,-2.56,0.64,,,,,D,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
2.56,-2.56,2.56,,,,,D,"[0.0, 0.0, 1.0]"
0.16,0.16,0.16,(0.06316929575659057+0.07019787087068077j),(-17.138152068037297+15.422191346823867j),(-1.512225444146492e-05-0.00011464620628041984j),(5.503017901460152e-05-7.258682131903162e-06j),A,"[0.0, 0.0, 1.0]"
0.64,0.16,0.16,(0.27403889741177595+0.08732733215349014j),(-5.330037362883919+16.726006922105462j),(-6.519314713278952e-06-5.264654786632558e-05j),(5.054068595167255e-05-6.258542124747794e-06j),A,"[0.5, 0.0, 0.5]"
2.56,0.16,0.16,(0.2956082506166943-0.196531779635573j),(2.9988369695369412+4.5106239412947735j),(2.3141118761728835e-06-1.7106564560047825e-05j),(4.9266905932937736e-05+6.664642203377904e-06j),A,"[0.8333333333333333, 3.3993498887762956e-17, 0.16666666666666669]"
0.64,0.16,0.64,(0.8789310275991588-0.16594871343000284j),(2.532176413421674+13.411423150621928j),(-4.7648164732240915e-06-3.388489825581197e-05j),(4.879425348836924e-05-6.861335721442692e-06j),A,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
2.56,0.16,0.64,(0.6450012014872469-0.9143705582237435j),(3.4880468682241186+2.4604843196382404j),(1.5798589264361807e-06-1.4080514971789008e-05j),(4.731053030521107e-05+5.308325992825567e-06j),A,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714288]"
2.56,0.16,2.56,(-0.29517694533780886-1.7244160939936235j),(1.6445313396393044-0.28150267156391984j),(9.803807444558024e-07-9.232299153605282e-06j),(4.8746539531035887e-05+5.176410330726637e-06j),A,"[2.5495124165822214e-17, 0.909090909090909, 0.09090909090909087]"
0.64,0.64,0.64,(2.3186034024365383-1.8798451567218102j),(7.171040179145088+8.844770059343483j),(-5.48544549770695e-06-2.6225963373061518e-05j),(5.035384967627811e-05-1.0532055355597344e-05j),A,"[0.0, 0.0, 1.0]"
2.56,0.64,0.64,(0.7907683747557582-3.656620071883205j),(3.4872246474105877+0.7541354892308789j),(5.526410121535126e-07-1.2445015031456191e-05j),(4.7788857720791775e-05+2.122141486669488e-06j),A,"[0.5, 0.0, 0.5]"
2.56,0.64,2.56,(-2.55751656459095-5.138723768198639j),(1.2251672192093463-0.6097594653584838j),(9.852259409820076e-07-8.070367961483935e-06j),(4.648531945814747e-05+5.674901420056363e-06j),A,"[1.6996749443881478e-17, 0.6666666666666666, 0.33333333333333337]"
2.56,2.56,2.56,(-8.330227071672475-4.529194380535314j),(0.2699610221705027-0.4965202255053803j),(1.192957772887187e-06-5.740903414018373e-06j),(4.4090138219661106e-05+9.161915695773595e-06j),A,"[0.0, 0.0, 1.0]"
