w1 (rad/s),w2 (rad/s),w3 (rad/s),G3 (Pa),eta3 (Pa s3),J3 (Pa-3),phi3 (Pa-3 s-1),Subspace,"[R,G,B]"
3.84,-3.2,3.84,(-28.441390187418744+5.969790343771894j),(0.12651634944856208+0.6027516298806667j),(9.67616515849916e-06-1.1505555730501702e-05j),(5.154488967264762e-05+4.3349219910076234e-05j),B,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
5.76,-3.2,3.84,(-19.636831269594094+9.2005328429565j),(0.12998980547525618+0.2774391353691114j),(6.597160311154581e-06-8.117625310099304e-06j),(5.195280198463554e-05+4.2221825991389314e-05j),B,"[0.15, 0.09999999999999998, 0.75]"
5.76,-3.2,5.76,(-12.496559315682966+11.879673302092488j),(0.11189470928891489+0.11770516210186772j),(4.004840448163772e-06-6.795274863145307e-06j),(5.653668686136895e-05+3.3320272528722584e-05j),B,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
3.2,-3.84,3.2,(-23.31543899384929-19.84224047103401j),(-0.5046142697915142+0.5929422758445559j),(1.6831493533845097e-05-6.574480307965665e-06j),(1.6830669588392108e-05+4.308862344664346e-05j),D,"[0.0625, 2.7194799110210365e-16, 0.9375]"
3.84,-3.84,3.2,,,,,D,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
5.76,-3.84,3.2,(-22.264923615792085-1.9858095113415941j),(-0.028056526344321837+0.314570160135228j),(9.329018136697085e-06-5.738659099818263e-06j),(2.9381934591069508e-05+4.7764572859889075e-05j),C,"[0.15, 0.09999999999999998, 0.75]"
3.84,-3.84,3.84,,,,,D,"[0.0, 0.0, 1.0]"
5.76,-3.84,3.84,,,,,C,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
5.76,-3.84,5.76,(-17.35091677406893+11.866060873548836j),(0.0931387447902604+0.13619031846528334j),(5.367293703557416e-06-7.662504285626963e-06j),(5.8848032913615074e-05+4.122081564332095e-05j),B,"[3.3993498887762956e-17, 0.24999999999999994, 0.7499999999999999]"
3.2,-5.76,3.2,(0.7581944933036633-20.570591934002177j),(-0.3487581369018924-0.012854588712966296j),(2.5652146333122836e-05-5.7826092553411016e-06j),(3.7008699234183083e-06+1.6417373653198628e-05j),D,"[0.21052631578947364, 0.0, 0.7894736842105262]"
3.84,-5.76,3.2,(-5.529277970339992-23.187616909836517j),(-0.32760644008264217+0.07812045020124637j),(1.750835563063635e-05-2.2673060073816923e-06j),(2.9021516894485665e-06+2.2410695207214534e-05j),D,"[0.15, 0.09999999999999998, 0.75]"
5.76,-5.76,3.2,,,,,D,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
3.84,-5.76,3.84,(-12.390359753801219-24.875400401783338j),(-0.2928769194259566+0.145881084793011j),(1.6238261992428365e-05-1.4455295179203076e-06j),(2.7754166744069907e-06+3.117746302546246e-05j),D,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
5.76,-5.76,3.84,,,,,D,"[3.3993498887762956e-17, 0.24999999999999994, 0.7499999999999999]"
5.76,-5.76,5.76,,,,,D,"[0.0, 0.0, 1.0]"
3.2,3.2,3.2,(-8.357242650047503-2.6764249375079343j),(0.08167800712609662-0.25504280548240665j),(1.5139616708174875e-06-4.358809838765101e-06j),(4.184457445214498e-05+1.4534032039847882e-05j),A,"[0.0, 0.0, 1.0]"
3.84,3.2,3.2,(-7.376808351224159-3.9398627490951235j),(0.1001958910394064-0.18760193764302974j),(2.3748586828342713e-06-3.535143457494863e-06j),(3.61998690047474e-05+2.4318552912222937e-05j),A,"[0.0625, 2.7194799110210365e-16, 0.9375]"
5.76,3.2,3.2,(-7.889808287950179-2.8845651367976517j),(0.04890552328826313-0.13376546712155113j),(2.28725873557737e-06-3.391854004498042e-06j),(4.124494469469619e-05+2.781306622462082e-05j),A,"[0.21052631578947364, 0.0, 0.7894736842105262]"
3.84,3.2,3.84,(-7.935262516087714-2.696883173224826j),(0.057154404814504546-0.16817013456742422j),(1.996998051114195e-06-3.620213533922019e-06j),(3.938792324907156e-05+2.172733879612244e-05j),A,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
5.76,3.2,3.84,(-7.649025786626679-2.2018058703039642j),(0.03110823271439113-0.10806932501088855j),(2.1091596881423002e-06-3.1090278198626167e-06j),(3.97955560942415e-05+2.6997244008221444e-05j),A,"[0.15, 0.09999999999999998, 0.75]"
5.76,3.2,5.76,(-8.722188018788094-1.4683761248743368j),(0.01383064293448683-0.08215433774206933j),(2.3117104033147074e-06-3.262518004788932e-06j),(4.802426503049308e-05+3.402837713679249e-05j),A,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
3.84,3.84,3.84,(-10.817264742709618-2.9252188317964585j),(0.0516612235139292-0.191039769609056j),(2.638609837437653e-06-4.661216508612059e-06j),(5.369721417921092e-05+3.0396785327281763e-05j),A,"[0.0, 0.0, 1.0]"
5.76,3.84,3.84,(-8.741983524857877-1.7328534479935453j),(0.0204021954005859-0.10292598965559922j),(2.24787755381353e-06-3.401888606981132e-06j),(4.572138287782641e-05+3.0211474323253844e-05j),A,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
5.76,3.84,5.76,(-8.130456313359858-1.4693417795819845j),(0.011533115367983474-0.06381734458201105j),(2.3315877895069004e-06-2.770853778428302e-06j),(4.256031403665872e-05+3.581318844682599e-05j),A,"[3.3993498887762956e-17, 0.24999999999999994, 0.7499999999999999]"
5.76,5.76,5.76,(-8.946785520174343-0.6653155271467321j),(0.003481450373366934-0.04681656825780852j),(2.4972594211073384e-06-2.8227641653902423e-06j),(4.877736477794339e-05+4.315264279673481e-05j),A,"[0.0, 0.0, 1.0]"
1.6,-1.6,1.6,,,,,D,"[0.0, 0.0, 1.0]"
1.92,-1.6,1.6,,,,,C,"[0.0625, 2.7194799110210365e-16, 0.9375]"
2.88,-1.6,1.6,,,,,C,"[0.21052631578947364, 0.0, 0.7894736842105262]"
1.92,-1.6,1.92,(-21.03058470835441-2.233781428074445j),(-0.37871999580797744+3.565569510286867j),(1.0204215477763612e-05-2.0195613583365732e-05j),(4.5238174426739236e-05+2.2857442670190487e-05j),B,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
2.88,-1.6,1.92,(-16.959452400596533+3.7075242913070183j),(0.4190543044825822+1.916894124416383j),(6.984058464933301e-06-1.3213983914817888e-05j),(4.228474852741724e-05+2.2348987087786563e-05j),B,"[0.15, 0.09999999999999998, 0.75]"
2.88,-1.6,2.88,(-13.566822660534223+8.93487365542736j),(0.6732609995469353+1.0222878282737617j),(4.593877273610558e-06-1.0910663215634653e-05j),(4.538835897704016e-05+1.911052945821992e-05j),B,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
1.6,-1.92,1.6,(-14.301507942591993-14.918389203806795j),(-3.0351540535088692+2.9096492396223943j),(1.8134102749716057e-05-2.5211199730447408e-05j),(3.227033565497269e-05+2.3211651519636555e-05j),D,"[0.0625, 2.7194799110210365e-16, 0.9375]"
1.92,-1.92,1.6,,,,,D,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
2.88,-1.92,1.6,(-18.279177266661325-3.722447108926403j),(-0.4207410017142292+2.0660600751705958j),(9.945981413349914e-06-1.3677694067337976e-05j),(3.501489681238522e-05+2.5461712418175782e-05j),C,"[0.15, 0.09999999999999998, 0.75]"
1.92,-1.92,1.92,,,,,D,"[0.0, 0.0, 1.0]"
2.88,-1.92,1.92,,,,,C,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
2.88,-1.92,2.88,(-18.32265547857006+7.535210349650311j),(0.47316125624230854+1.1505412963471628j),(6.1386306349060465e-06-1.1975286503750069e-05j),(4.598510017440026e-05+2.357234163803922e-05j),B,"[3.3993498887762956e-17, 0.24999999999999994, 0.7499999999999999]"
1.6,-2.88,1.6,(0.1673119969738395-17.02162929393574j),(-2.3087062301887666-0.022693141950661824j),(4.7560472666050273e-05-5.316372384786203e-05j),(1.7012391631315863e-05+1.5219351253136101e-05j),D,"[0.21052631578947364, 0.0, 0.7894736842105262]"
1.92,-2.88,1.6,(-3.403863861284489-19.118019065797398j),(-2.160872742354488+0.3847321530133836j),(2.903285613431856e-05-2.7092312494753975e-05j),(1.7339079996642548e-05+1.8581027925963883e-05j),D,"[0.15, 0.09999999999999998, 0.75]"
2.88,-2.88,1.6,,,,,D,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
1.92,-2.88,1.92,(-8.942544597354482-21.649937561049125j),(-2.0392088300021256+0.8422987758829078j),(2.415085898893585e-05-2.0951439562388725e-05j),(2.0113381979893176e-05+2.3184824629378413e-05j),D,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
2.88,-2.88,1.92,,,,,D,"[3.3993498887762956e-17, 0.24999999999999994, 0.7499999999999999]"
2.88,-2.88,2.88,,,,,D,"[0.0, 0.0, 1.0]"
1.6,1.6,1.6,(-0.7740963721377933-7.04771511201547j),(1.7206335722694015-0.1889883721039534j),(2.8696883273459494e-06-7.133134363767501e-06j),(3.4239044946084013e-05+1.377450397126056e-05j),A,"[0.0, 0.0, 1.0]"
1.92,1.6,1.6,(-2.0588778653149626-6.629048688288182j),(1.3486834082617556-0.41887977403055066j),(2.0337889242155457e-06-6.594600549138934e-06j),(3.3764354811591346e-05+1.0412999291983594e-05j),A,"[0.0625, 2.7194799110210365e-16, 0.9375]"
2.88,1.6,1.6,(-3.672192814816559-6.7613945529695805j),(0.9170728289075493-0.49807302718323543j),(2.170510446922304e-06-6.298725372114244e-06j),(3.8296250262454607e-05+1.3196703517287609e-05j),A,"[0.21052631578947364, 0.0, 0.7894736842105262]"
1.92,1.6,1.92,(-2.5970849279068413-6.954302237449561j),(1.1790470102012738-0.44031523435920567j),(2.3176341132727438e-06-6.363672009447244e-06j),(3.4618375731393e-05+1.2607929576203725e-05j),A,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
2.88,1.6,1.92,(-4.192034456304263-6.371561063200746j),(0.7201652315719882-0.4738175519368787j),(2.0786488107767916e-06-5.704539475726461e-06j),(3.650905264464935e-05+1.3303352388971467e-05j),A,"[0.15, 0.09999999999999998, 0.75]"
2.88,1.6,2.88,(-5.367372861118799-5.650276754229527j),(0.4257599068520272-0.40444252003752523j),(2.0473806760503505e-06-5.033341765401935e-06j),(3.704539539335825e-05+1.506872177573058e-05j),A,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
1.92,1.92,1.92,(-5.077310704082926-7.783256651305288j),(1.099658069088588-0.7173482688738401j),(1.8003947210110036e-06-7.574916157278287e-06j),(4.363151706592293e-05+1.037027359302338e-05j),A,"[0.0, 0.0, 1.0]"
2.88,1.92,1.92,(-5.054703845477183-6.536256952585291j),(0.615650408011099-0.47610283797249353j),(2.2100577065006447e-06-5.6315955624472e-06j),(3.784432217964518e-05+1.4851587787684332e-05j),A,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
2.88,1.92,2.88,(-6.343544250131294-5.493087915093079j),(0.34492950534227657-0.3983325251908978j),(2.0341017001624715e-06-4.987077014062647e-06j),(3.830075146800113e-05+1.5621901057247782e-05j),A,"[3.3993498887762956e-17, 0.24999999999999994, 0.7499999999999999]"
2.88,2.88,2.88,(-8.18389287961105-5.637360493058015j),(0.23599257786788272-0.3425961458438429j),(2.60178869025937e-06-4.9611584479154425e-06j),(4.2864408989989426e-05+2.247945428384096e-05j),A,"[0.0, 0.0, 1.0]"
0.8,-0.8,0.8,,,,,D,"[0.0, 0.0, 1.0]"
0.96,-0.8,0.8,,,,,C,"[0.0625, 2.7194799110210365e-16, 0.9375]"
1.44,-0.8,0.8,,,,,C,"[0.21052631578947364, 0.0, 0.7894736842105262]"
0.96,-0.8,0.96,(-7.442698818484656-3.625628886411719j),(-4.917573901925617+10.094806340175586j),(5.5149220785430245e-06-4.277672554983885e-05j),(4.79099326158195e-05+6.176712727968187e-06j),B,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
1.44,-0.8,0.96,(-8.094257311829354-1.120103619194591j),(-1.0128251764997387+7.319026070447549j),(4.7968157068284715e-06-2.6317300016220555e-05j),(4.210768002595288e-05+7.674905130925554e-06j),B,"[0.15, 0.09999999999999998, 0.75]"
1.44,-0.8,1.44,(-8.879569933667996+1.7710742810848557j),(1.0676325479147712+5.352750008239291j),(3.4196113777150207e-06-2.0182886142551452e-05j),(4.198040317650702e-05+7.112791665647243e-06j),B,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
